ID	event	date
P0	D	2023-01-11
P0	C	2023-01-11
P0	E	2023-01-15
P0	I	2023-01-22
P0	Q	2023-01-27
P0	C	2023-02-19
P0	Q	2023-02-23
P0	R	2023-03-17
P0	C	2023-03-28
P0	M	2023-05-01
P0	R	2023-05-10
P0	I	2023-06-01
P0	V	2023-06-02
P0	M	2023-06-05
P0	N	2023-06-14
P0	W	2023-06-18
P0	Z	2023-06-21
P0	F	2023-06-27
P0	C	2023-07-01
P0	N	2023-07-12
P0	G	2023-07-25
P0	X	2023-07-29
P0	C	2023-08-14
P0	H	2023-08-16
P0	J	2023-08-17
P0	B	2023-08-29
P0	G	2023-10-13
P0	D	2023-10-22
P0	P	2023-10-23
P0	F	2023-10-27
P0	Y	2023-11-02
P0	R	2023-11-06
P0	T	2023-12-11
P0	Q	2023-12-18
P0	O	2023-12-21
P0	Y	2023-12-27
P1	N	2023-01-22
P1	B	2023-03-02
P1	D	2023-03-03
P1	C	2023-03-28
P1	P	2023-03-30
P1	U	2023-04-04
P1	Y	2023-04-10
P1	M	2023-04-22
P1	E	2023-04-30
P1	Q	2023-05-22
P1	I	2023-05-24
P1	Q	2023-05-27
P1	H	2023-06-20
P1	B	2023-07-11
P1	I	2023-07-22
P1	D	2023-07-25
P1	I	2023-07-28
P1	B	2023-08-06
P1	K	2023-08-09
P1	P	2023-08-28
P1	A	2023-09-02
P1	E	2023-09-06
P1	M	2023-09-09
P1	U	2023-09-13
P1	L	2023-10-01
P1	C	2023-10-06
P1	K	2023-10-09
P1	C	2023-10-11
P1	U	2023-10-15
P1	L	2023-10-23
P1	D	2023-10-28
P1	J	2023-11-14
P1	N	2023-11-15
P1	H	2023-12-08
P1	N	2023-12-11
P1	I	2023-12-28
P1	M	2023-12-30
P1	L	2023-12-31
P2	R	2023-01-22
P2	U	2023-01-24
P2	Z	2023-02-09
P2	G	2023-03-17
P2	W	2023-04-03
P2	Q	2023-04-17
P2	Z	2023-04-22
P2	E	2023-05-12
P2	H	2023-05-21
P2	M	2023-06-05
P2	O	2023-06-23
P2	B	2023-07-06
P2	L	2023-07-20
P2	N	2023-07-29
P2	B	2023-08-30
P2	Y	2023-09-04
P2	K	2023-09-19
P2	L	2023-09-30
P2	V	2023-10-19
P2	J	2023-10-21
P2	K	2023-10-30
P2	R	2023-11-05
