ID	event	date
P0	K	2023-01-09
P0	J	2023-01-26
P0	W	2023-03-01
P0	V	2023-03-02
P0	E	2023-03-04
P0	U	2023-03-24
P0	O	2023-04-06
P0	H	2023-04-08
P0	L	2023-04-20
P0	Z	2023-04-29
P0	L	2023-05-01
P0	J	2023-05-02
P0	Z	2023-05-06
P0	K	2023-05-11
P0	G	2023-05-27
P0	W	2023-05-28
P0	L	2023-05-31
P0	B	2023-06-03
P0	V	2023-06-08
P0	T	2023-06-19
P0	I	2023-06-22
P0	E	2023-06-28
P0	S	2023-07-02
P0	Y	2023-07-11
P0	T	2023-07-12
P0	X	2023-09-02
P0	A	2023-09-03
P0	D	2023-09-25
P0	A	2023-09-26
P0	L	2023-10-14
P0	W	2023-11-02
P0	V	2023-11-05
P0	G	2023-11-10
P0	F	2023-11-17
P0	D	2023-11-22
P0	D	2023-11-25
P0	S	2023-11-26
P0	W	2023-11-29
P0	U	2023-12-09
P0	M	2023-12-10
P0	A	2023-12-14
P0	D	2023-12-25
P0	A	2023-12-26
P0	J	2023-12-27
P0	A	2023-12-28
P1	T	2023-01-10
P1	J	2023-02-11
P1	L	2023-02-25
P1	X	2023-02-27
P1	D	2023-03-08
P1	U	2023-03-18
P1	G	2023-03-19
P1	L	2023-04-09
P1	V	2023-04-18
P1	U	2023-04-25
P1	Q	2023-04-26
P1	H	2023-04-30
P1	X	2023-06-12
P1	J	2023-06-27
P1	P	2023-07-04
P1	F	2023-07-12
P1	A	2023-07-17
P1	A	2023-08-10
P1	E	2023-09-03
P1	M	2023-09-05
P1	L	2023-09-07
P1	G	2023-09-13
P1	D	2023-09-25
P1	O	2023-10-16
P1	A	2023-10-24
P1	B	2023-11-07
P1	Y	2023-11-15
P1	B	2023-11-15
P1	X	2023-12-15
P1	E	2023-12-22
P1	P	2023-12-24
P1	F	2023-12-29
P2	N	2023-01-06
P2	Q	2023-01-07
P2	A	2023-01-08
P2	D	2023-01-21
P2	U	2023-01-27
P2	B	2023-01-28
P2	E	2023-01-31
P2	G	2023-02-02
P2	W	2023-02-03
P2	W	2023-02-16
P2	G	2023-02-17
P2	Q	2023-02-19
P2	J	2023-02-27
P2	S	2023-03-01
P2	V	2023-03-21
P2	T	2023-04-05
P2	S	2023-04-12
P2	Z	2023-05-18
P2	S	2023-05-20
P2	D	2023-06-03
P2	X	2023-06-29
P2	B	2023-07-14
P2	H	2023-07-16
P2	V	2023-07-22
P2	X	2023-08-06
P2	K	2023-08-16
P2	X	2023-08-18
P2	J	2023-08-19
P2	Q	2023-08-21
P2	T	2023-09-11
P2	R	2023-09-16
P2	E	2023-10-21
P2	M	2023-10-29
P2	I	2023-11-14
P2	U	2023-11-22
P2	U	2023-12-09
P2	O	2023-12-20
P2	S	2023-12-31
P3	Y	2023-02-10
P3	I	2023-02-27
P3	D	2023-03-03
P3	S	2023-03-10
P3	X	2023-03-19
P3	W	2023-04-01
P3	D	2023-04-02
P3	X	2023-04-03
P3	T	2023-04-23
P3	P	2023-05-08
P3	I	2023-05-19
P3	M	2023-06-10
P3	E	2023-07-15
P3	L	2023-07-31
P3	C	2023-08-23
P3	E	2023-09-26
P3	O	2023-09-27
P3	G	2023-10-18
P3	O	2023-11-09
P3	R	2023-11-10
P3	W	2023-12-02
P3	H	2023-12-05
P3	M	2023-12-17
P4	S	2023-01-12
P4	P	2023-01-14
P4	W	2023-01-21
P4	W	2023-02-01
P4	F	2023-02-15
P4	L	2023-03-05
P4	O	2023-03-16
P4	P	2023-03-17
P4	J	2023-03-19
P4	M	2023-03-29
P4	Y	2023-04-04
P4	H	2023-04-18
P4	F	2023-04-25
P4	C	2023-04-28
P4	S	2023-05-29
P4	B	2023-06-02
P4	N	2023-06-11
P4	W	2023-06-16
P4	T	2023-06-21
P4	D	2023-07-06
P4	H	2023-07-07
P4	Y	2023-07-21
P4	X	2023-07-27
P4	K	2023-08-02
P4	R	2023-08-03
P4	N	2023-08-04
P4	Z	2023-08-13
P4	Y	2023-08-18
P4	W	2023-08-21
P4	M	2023-08-26
P4	M	2023-08-30
P4	K	2023-09-04
P4	S	2023-09-06
P4	E	2023-09-12
P4	V	2023-09-20
P4	O	2023-09-22
P4	K	2023-10-07
P4	C	2023-10-07
P4	B	2023-10-08
P4	D	2023-10-08
P4	V	2023-10-15
P4	S	2023-10-18
P4	H	2023-11-11
P4	L	2023-11-15
P4	Y	2023-11-16
P4	K	2023-11-25
P4	X	2023-12-04
P4	B	2023-12-17
P5	L	2023-01-04
P5	D	2023-01-14
P5	M	2023-01-25
P5	D	2023-01-25
P5	S	2023-02-05
P5	R	2023-03-30
P5	E	2023-04-04
P5	D	2023-04-07
